circRNA,RBP,query_gene
10_103920058_103920380|NOLC1,PABPC4,NOLC1
10_103920058_103920380|NOLC1,PABPN1,NOLC1
10_103920058_103920380|NOLC1,RBM45,NOLC1
10_103920058_103920380|NOLC1,SART3,NOLC1
10_103920058_103920380|NOLC1,SRSF10,NOLC1
10_103920058_103920380|NOLC1,SRSF5,NOLC1
10_103920058_103920380|NOLC1,YBX2,NOLC1
10_103920394_103920597|NOLC1,ANKHD1,NOLC1
10_103920394_103920597|NOLC1,FMR1,NOLC1
10_103920394_103920597|NOLC1,FXR2,NOLC1
10_103920394_103920597|NOLC1,G3BP2,NOLC1
10_103920394_103920597|NOLC1,HNRNPA2B1,NOLC1
10_103920394_103920597|NOLC1,HNRNPH1,NOLC1
10_103920394_103920597|NOLC1,LIN28A,NOLC1
10_103920394_103920597|NOLC1,PABPN1,NOLC1
10_103920394_103920597|NOLC1,RBM28,NOLC1
10_103920394_103920597|NOLC1,RBM3,NOLC1
10_103920394_103920597|NOLC1,RBM45,NOLC1
10_103920394_103920597|NOLC1,RBM5,NOLC1
10_103920394_103920597|NOLC1,RBM6,NOLC1
10_103920394_103920597|NOLC1,SRSF1,NOLC1
10_103920394_103920597|NOLC1,SRSF10,NOLC1
10_103920394_103920597|NOLC1,SRSF2,NOLC1
10_103920394_103920597|NOLC1,SRSF5,NOLC1
10_103920394_103920597|NOLC1,SRSF7,NOLC1
10_103920394_103920597|NOLC1,SRSF9,NOLC1
10_103920394_103920597|NOLC1,TRA2A,NOLC1
10_103920394_103920597|NOLC1,TRA2B,NOLC1
10_103920429_103920597|NOLC1,ANKHD1,NOLC1
10_103920429_103920597|NOLC1,HNRNPH1,NOLC1
10_103920429_103920597|NOLC1,HNRNPK,NOLC1
10_103920429_103920597|NOLC1,HNRNPL,NOLC1
10_103920429_103920597|NOLC1,NOVA1,NOLC1
10_103920429_103920597|NOLC1,PABPN1,NOLC1
10_103920429_103920597|NOLC1,RBM3,NOLC1
10_103920429_103920597|NOLC1,RBM5,NOLC1
10_103920429_103920597|NOLC1,SRSF1,NOLC1
10_103920429_103920597|NOLC1,SRSF2,NOLC1
10_103920429_103920597|NOLC1,SRSF7,NOLC1
10_103920429_103920597|NOLC1,SRSF9,NOLC1
10_103920429_103920597|NOLC1,TRA2B,NOLC1
10_103920429_103920597|NOLC1,YBX1,NOLC1
10_103921996_103922146|NOLC1,G3BP2,NOLC1
10_103921996_103922146|NOLC1,HNRNPA1,NOLC1
10_103921996_103922146|NOLC1,HNRNPA1L2,NOLC1
10_103921996_103922146|NOLC1,HNRNPA2B1,NOLC1
10_103921996_103922146|NOLC1,HNRNPH1,NOLC1
10_103921996_103922146|NOLC1,MSI1,NOLC1
10_103921996_103922146|NOLC1,RBM28,NOLC1
10_103921996_103922146|NOLC1,SFPQ,NOLC1
10_103921996_103922146|NOLC1,SRSF2,NOLC1
10_103921996_103922146|NOLC1,SRSF3,NOLC1
10_103921996_103922146|NOLC1,SRSF7,NOLC1
10_103921996_103922146|NOLC1,SRSF9,NOLC1
10_103921996_103922146|NOLC1,TRA2B,NOLC1
10_104934614_104934739|NT5C2,HNRNPL,NT5C2
10_104934614_104934739|NT5C2,IGF2BP2,NT5C2
10_104934614_104934739|NT5C2,IGF2BP3,NT5C2
10_104934614_104934739|NT5C2,KHDRBS1,NT5C2
10_104934614_104934739|NT5C2,KHDRBS2,NT5C2
10_104934614_104934739|NT5C2,KHDRBS3,NT5C2
10_104934614_104934739|NT5C2,PABPC1,NT5C2
10_104934614_104934739|NT5C2,PABPC3,NT5C2
10_104934614_104934739|NT5C2,PABPC4,NT5C2
10_104934614_104934739|NT5C2,PABPC5,NT5C2
10_104934614_104934739|NT5C2,PABPN1,NT5C2
10_104934614_104934739|NT5C2,RBMS1,NT5C2
10_104934614_104934739|NT5C2,RBMS3,NT5C2
10_104934614_104934739|NT5C2,SART3,NT5C2
10_104934614_104934739|NT5C2,SRSF3,NT5C2
10_104934614_104934739|NT5C2,TRA2B,NT5C2
10_104934614_104934739|NT5C2,ZCRB1,NT5C2
10_105805515_105807568|COL17A1,G3BP2,COL17A1
10_105805515_105807568|COL17A1,KHDRBS2,COL17A1
10_105805515_105807568|COL17A1,PABPC4,COL17A1
10_105805515_105807568|COL17A1,SRSF5,COL17A1
10_105805515_105807568|COL17A1,SRSF7,COL17A1
10_105805515_105807568|COL17A1,TRA2B,COL17A1
10_105805515_105807568|COL17A1,ZCRB1,COL17A1
10_105815573_105815753|COL17A1,BRUNOL4,COL17A1
10_105815573_105815753|COL17A1,BRUNOL5,COL17A1
10_105815573_105815753|COL17A1,BRUNOL6,COL17A1
10_105815573_105815753|COL17A1,CUG-BP,COL17A1
10_105815573_105815753|COL17A1,ESRP2,COL17A1
10_105815573_105815753|COL17A1,FXR2,COL17A1
10_105815573_105815753|COL17A1,G3BP2,COL17A1
10_105815573_105815753|COL17A1,HNRNPF,COL17A1
10_105815573_105815753|COL17A1,HNRNPH1,COL17A1
10_105815573_105815753|COL17A1,LIN28A,COL17A1
10_105815573_105815753|COL17A1,RBM38,COL17A1
10_105815573_105815753|COL17A1,RBM4,COL17A1
10_105815573_105815753|COL17A1,RBM8A,COL17A1
10_105815573_105815753|COL17A1,SRSF1,COL17A1
10_105815573_105815753|COL17A1,SRSF2,COL17A1
10_105815573_105815753|COL17A1,SRSF5,COL17A1
10_105815573_105815753|COL17A1,SRSF7,COL17A1
10_105815573_105815753|COL17A1,SRSF9,COL17A1
10_105815573_105815753|COL17A1,TARDBP,COL17A1
10_105815573_105815753|COL17A1,TRA2A,COL17A1
10_112057346_112057486|SMNDC1,DAZAP1,SMNDC1
10_112057346_112057486|SMNDC1,FXR1,SMNDC1
10_112057346_112057486|SMNDC1,G3BP2,SMNDC1
10_112057346_112057486|SMNDC1,HNRNPA1,SMNDC1
10_112057346_112057486|SMNDC1,HNRNPH1,SMNDC1
10_112057346_112057486|SMNDC1,HNRNPH2,SMNDC1
10_112057346_112057486|SMNDC1,KHDRBS2,SMNDC1
10_112057346_112057486|SMNDC1,KHDRBS3,SMNDC1
10_112057346_112057486|SMNDC1,LIN28A,SMNDC1
10_112057346_112057486|SMNDC1,PABPN1,SMNDC1
10_112057346_112057486|SMNDC1,RBM45,SMNDC1
10_112057346_112057486|SMNDC1,RBM46,SMNDC1
10_112057346_112057486|SMNDC1,RBM5,SMNDC1
10_112057346_112057486|SMNDC1,RBMS1,SMNDC1
10_112057346_112057486|SMNDC1,SRSF1,SMNDC1
10_112057346_112057486|SMNDC1,SRSF10,SMNDC1
10_112057346_112057486|SMNDC1,SRSF2,SMNDC1
10_112057346_112057486|SMNDC1,SRSF7,SMNDC1
10_112057346_112057486|SMNDC1,SRSF9,SMNDC1
10_112057346_112057486|SMNDC1,TRA2A,SMNDC1
10_112057346_112057486|SMNDC1,TRA2B,SMNDC1
10_112360196_112360304|SMC3,A1CF,SMC3
10_112360196_112360304|SMC3,CNOT4,SMC3
10_112360196_112360304|SMC3,ENOX1,SMC3
10_112360196_112360304|SMC3,FMR1,SMC3
10_112360196_112360304|SMC3,FXR2,SMC3
10_112360196_112360304|SMC3,HNRNPA2B1,SMC3
10_112360196_112360304|SMC3,HNRPLL,SMC3
10_112360196_112360304|SMC3,IGF2BP3,SMC3
10_112360196_112360304|SMC3,KHDRBS1,SMC3
10_112360196_112360304|SMC3,KHDRBS2,SMC3
10_112360196_112360304|SMC3,KHDRBS3,SMC3
10_112360196_112360304|SMC3,LIN28A,SMC3
10_112360196_112360304|SMC3,PABPC1,SMC3
10_112360196_112360304|SMC3,PABPC3,SMC3
10_112360196_112360304|SMC3,PABPC4,SMC3
10_112360196_112360304|SMC3,PABPC5,SMC3
10_112360196_112360304|SMC3,PABPN1,SMC3
10_112360196_112360304|SMC3,RBM46,SMC3
10_112360196_112360304|SMC3,RBM5,SMC3
10_112360196_112360304|SMC3,SART3,SMC3
10_112360196_112360304|SMC3,SRSF10,SMC3
10_112360196_112360304|SMC3,SRSF3,SMC3
10_112360196_112360304|SMC3,SRSF7,SMC3
10_112360196_112360304|SMC3,TRA2B,SMC3
10_112360196_112360304|SMC3,ZCRB1,SMC3
10_119100490_119100613|PDZD8,ANKHD1,PDZD8
10_119100490_119100613|PDZD8,CPEB2,PDZD8
10_119100490_119100613|PDZD8,CPEB4,PDZD8
10_119100490_119100613|PDZD8,DAZAP1,PDZD8
10_119100490_119100613|PDZD8,HNRNPA2B1,PDZD8
10_119100490_119100613|PDZD8,HNRNPC,PDZD8
10_119100490_119100613|PDZD8,HNRNPCL1,PDZD8
10_119100490_119100613|PDZD8,HNRNPK,PDZD8
10_119100490_119100613|PDZD8,MBNL1,PDZD8
10_119100490_119100613|PDZD8,MSI1,PDZD8
10_119100490_119100613|PDZD8,PCBP1,PDZD8
10_119100490_119100613|PDZD8,RALY,PDZD8
10_119100490_119100613|PDZD8,SRSF2,PDZD8
10_119100490_119100613|PDZD8,TIA1,PDZD8
10_119100490_119100613|PDZD8,TRA2B,PDZD8
10_119100490_119100613|PDZD8,U2AF2,PDZD8
10_119100490_119100613|PDZD8,ZNF638,PDZD8
10_120795627_120795765|EIF3A,CUG-BP,EIF3A
10_120795627_120795765|EIF3A,FMR1,EIF3A
10_120795627_120795765|EIF3A,FXR1,EIF3A
10_120795627_120795765|EIF3A,FXR2,EIF3A
10_120795627_120795765|EIF3A,G3BP2,EIF3A
10_120795627_120795765|EIF3A,HNRNPH1,EIF3A
10_120795627_120795765|EIF3A,LIN28A,EIF3A
10_120795627_120795765|EIF3A,PABPC1,EIF3A
10_120795627_120795765|EIF3A,PABPC4,EIF3A
10_120795627_120795765|EIF3A,PABPN1,EIF3A
10_120795627_120795765|EIF3A,RBM45,EIF3A
10_120795627_120795765|EIF3A,RBM5,EIF3A
10_120795627_120795765|EIF3A,RBM8A,EIF3A
10_120795627_120795765|EIF3A,SART3,EIF3A
10_120795627_120795765|EIF3A,SRSF1,EIF3A
10_120795627_120795765|EIF3A,SRSF10,EIF3A
10_120795627_120795765|EIF3A,SRSF2,EIF3A
10_120795627_120795765|EIF3A,SRSF5,EIF3A
10_120795627_120795765|EIF3A,SRSF7,EIF3A
10_120795627_120795765|EIF3A,SRSF9,EIF3A
10_120795627_120795765|EIF3A,TRA2A,EIF3A
10_120801550_120801697|EIF3A,CUG-BP,EIF3A
10_120801550_120801697|EIF3A,ESRP2,EIF3A
10_120801550_120801697|EIF3A,FXR1,EIF3A
10_120801550_120801697|EIF3A,G3BP2,EIF3A
10_120801550_120801697|EIF3A,HNRNPA2B1,EIF3A
10_120801550_120801697|EIF3A,HNRNPF,EIF3A
10_120801550_120801697|EIF3A,HNRNPH2,EIF3A
10_120801550_120801697|EIF3A,HNRNPM,EIF3A
10_120801550_120801697|EIF3A,MBNL1,EIF3A
10_120801550_120801697|EIF3A,RBM45,EIF3A
10_120801550_120801697|EIF3A,SRSF1,EIF3A
10_120801550_120801697|EIF3A,SRSF7,EIF3A
10_120801550_120801697|EIF3A,SRSF9,EIF3A
10_120801550_120801727|EIF3A,CUG-BP,EIF3A
10_120801550_120801727|EIF3A,FMR1,EIF3A
10_120801550_120801727|EIF3A,FXR2,EIF3A
10_120801550_120801727|EIF3A,G3BP2,EIF3A
10_120801550_120801727|EIF3A,HNRNPF,EIF3A
10_120801550_120801727|EIF3A,MBNL1,EIF3A
10_120801550_120801727|EIF3A,RBFOX1,EIF3A
10_120801550_120801727|EIF3A,SRSF1,EIF3A
10_120801550_120801727|EIF3A,SRSF2,EIF3A
10_120801616_120801919|EIF3A,ANKHD1,EIF3A
10_120801616_120801919|EIF3A,CUG-BP,EIF3A
10_120801616_120801919|EIF3A,FMR1,EIF3A
10_120801616_120801919|EIF3A,FXR1,EIF3A
10_120801616_120801919|EIF3A,FXR2,EIF3A
10_120801616_120801919|EIF3A,G3BP2,EIF3A
10_120801616_120801919|EIF3A,HNRNPF,EIF3A
10_120801616_120801919|EIF3A,SRSF1,EIF3A
10_120801616_120801919|EIF3A,SRSF2,EIF3A
10_120801616_120801919|EIF3A,SRSF5,EIF3A
10_120801616_120801919|EIF3A,SRSF7,EIF3A
10_120801676_120801926|EIF3A,ANKHD1,EIF3A
10_120801676_120801926|EIF3A,FMR1,EIF3A
10_120801676_120801926|EIF3A,FXR1,EIF3A
10_120801676_120801926|EIF3A,FXR2,EIF3A
10_120801676_120801926|EIF3A,G3BP2,EIF3A
10_120801676_120801926|EIF3A,HNRNPA2B1,EIF3A
10_120801676_120801926|EIF3A,HNRNPF,EIF3A
10_120801676_120801926|EIF3A,HNRNPM,EIF3A
10_120801676_120801926|EIF3A,RBM45,EIF3A
10_120801676_120801926|EIF3A,SNRNP70,EIF3A
10_120801676_120801926|EIF3A,SRSF1,EIF3A
10_120801676_120801926|EIF3A,SRSF7,EIF3A
10_120801676_120801926|EIF3A,SRSF9,EIF3A
10_120801676_120801979|EIF3A,ANKHD1,EIF3A
10_120801676_120801979|EIF3A,ENOX1,EIF3A
10_120801676_120801979|EIF3A,FMR1,EIF3A
10_120801676_120801979|EIF3A,FXR1,EIF3A
10_120801676_120801979|EIF3A,FXR2,EIF3A
10_120801676_120801979|EIF3A,G3BP2,EIF3A
10_120801676_120801979|EIF3A,HNRNPA2B1,EIF3A
10_120801676_120801979|EIF3A,HNRNPF,EIF3A
10_120801676_120801979|EIF3A,HNRNPH1,EIF3A
10_120801676_120801979|EIF3A,HNRNPM,EIF3A
10_120801676_120801979|EIF3A,RBM45,EIF3A
10_120801676_120801979|EIF3A,SRSF1,EIF3A
10_120801676_120801979|EIF3A,SRSF7,EIF3A
10_120801676_120801979|EIF3A,SRSF9,EIF3A
10_120801676_120801979|EIF3A,TRA2A,EIF3A
10_120801769_120801952|EIF3A,CUG-BP,EIF3A
10_120801769_120801952|EIF3A,ENOX1,EIF3A
10_120801769_120801952|EIF3A,ESRP2,EIF3A
10_120801769_120801952|EIF3A,FMR1,EIF3A
10_120801769_120801952|EIF3A,FXR1,EIF3A
10_120801769_120801952|EIF3A,FXR2,EIF3A
10_120801769_120801952|EIF3A,G3BP2,EIF3A
10_120801769_120801952|EIF3A,HNRNPH1,EIF3A
10_120801769_120801952|EIF3A,HNRNPH2,EIF3A
10_120801769_120801952|EIF3A,LIN28A,EIF3A
10_120801769_120801952|EIF3A,RBFOX1,EIF3A
10_120801769_120801952|EIF3A,RBM45,EIF3A
10_120801769_120801952|EIF3A,SRSF1,EIF3A
10_120801769_120801952|EIF3A,SRSF2,EIF3A
10_120801769_120801952|EIF3A,SRSF7,EIF3A
10_120802104_120803634|EIF3A,CUG-BP,EIF3A
10_120802104_120803634|EIF3A,DAZAP1,EIF3A
10_120802104_120803634|EIF3A,G3BP2,EIF3A
10_120802104_120803634|EIF3A,HNRNPH1,EIF3A
10_120802104_120803634|EIF3A,LIN28A,EIF3A
10_120802104_120803634|EIF3A,MSI1,EIF3A
10_120802104_120803634|EIF3A,PABPC4,EIF3A
10_120802104_120803634|EIF3A,PABPN1,EIF3A
10_120802104_120803634|EIF3A,RBM45,EIF3A
10_120802104_120803634|EIF3A,RBM5,EIF3A
10_120802104_120803634|EIF3A,SRSF1,EIF3A
10_120802104_120803634|EIF3A,SRSF2,EIF3A
10_120802104_120803634|EIF3A,SRSF5,EIF3A
10_120802104_120803634|EIF3A,SRSF7,EIF3A
10_120802104_120803634|EIF3A,SRSF9,EIF3A
10_120819113_120819230|EIF3A,CUG-BP,EIF3A
10_120819113_120819230|EIF3A,HNRNPC,EIF3A
10_120819113_120819230|EIF3A,HNRNPCL1,EIF3A
10_120819113_120819230|EIF3A,HNRPLL,EIF3A
10_120819113_120819230|EIF3A,HuR,EIF3A
10_120819113_120819230|EIF3A,SNRPA,EIF3A
10_120819113_120819230|EIF3A,SRSF5,EIF3A
10_120819113_120819230|EIF3A,TRA2B,EIF3A
10_120819113_120819230|EIF3A,U2AF2,EIF3A
10_120829108_120830505|EIF3A,IGF2BP2,EIF3A
10_120829108_120830505|EIF3A,IGF2BP3,EIF3A
10_120829108_120830505|EIF3A,KHDRBS1,EIF3A
10_120829108_120830505|EIF3A,KHDRBS2,EIF3A
10_120829108_120830505|EIF3A,KHDRBS3,EIF3A
10_120829108_120830505|EIF3A,PABPC1,EIF3A
10_120829108_120830505|EIF3A,PABPC3,EIF3A
10_120829108_120830505|EIF3A,PABPC4,EIF3A
10_120829108_120830505|EIF3A,PCBP1,EIF3A
10_120829108_120830505|EIF3A,RBM42,EIF3A
10_120829108_120830505|EIF3A,RBM46,EIF3A
10_120829108_120830505|EIF3A,RBM6,EIF3A
10_120829108_120830505|EIF3A,SART3,EIF3A
10_120829108_120830505|EIF3A,SRSF3,EIF3A
10_120829108_120830505|EIF3A,YBX1,EIF3A
10_120829108_120830505|EIF3A,YBX2,EIF3A
10_121436389_121436608|BAG3,CNOT4,BAG3
10_121436389_121436608|BAG3,FXR1,BAG3
10_121436389_121436608|BAG3,PABPC1,BAG3
10_121436389_121436608|BAG3,PABPC3,BAG3
10_121436389_121436608|BAG3,PABPC4,BAG3
10_121436389_121436608|BAG3,PABPC5,BAG3
10_121436389_121436608|BAG3,PABPN1,BAG3
10_121436389_121436608|BAG3,QKI,BAG3
10_121436389_121436608|BAG3,RBM45,BAG3
10_121436389_121436608|BAG3,RBM6,BAG3
10_121436389_121436608|BAG3,SART3,BAG3
10_121436389_121436608|BAG3,SRSF1,BAG3
10_121436389_121436608|BAG3,SRSF3,BAG3
10_123243211_123244973|FGFR2,CPEB2,FGFR2
10_123243211_123244973|FGFR2,CPEB4,FGFR2
10_123243211_123244973|FGFR2,CUG-BP,FGFR2
10_123243211_123244973|FGFR2,ENOX1,FGFR2
10_123243211_123244973|FGFR2,G3BP2,FGFR2
10_123243211_123244973|FGFR2,HNRNPA2B1,FGFR2
10_123243211_123244973|FGFR2,HNRNPC,FGFR2
10_123243211_123244973|FGFR2,HNRNPCL1,FGFR2
10_123243211_123244973|FGFR2,HNRPLL,FGFR2
10_123243211_123244973|FGFR2,MBNL1,FGFR2
10_123243211_123244973|FGFR2,PTBP1,FGFR2
10_123243211_123244973|FGFR2,RALY,FGFR2
10_123243211_123244973|FGFR2,RBM46,FGFR2
10_123243211_123244973|FGFR2,RBM5,FGFR2
10_123243211_123244973|FGFR2,SRSF1,FGFR2
10_123243211_123244973|FGFR2,SRSF3,FGFR2
10_123243211_123244973|FGFR2,SRSF5,FGFR2
10_123243211_123244973|FGFR2,SRSF7,FGFR2
10_123243211_123244973|FGFR2,SRSF9,FGFR2
10_123243211_123244973|FGFR2,TIA1,FGFR2
10_124330405_124331877|DMBT1,HNRNPA1,DMBT1
10_124330405_124331877|DMBT1,HNRNPA2B1,DMBT1
10_124330405_124331877|DMBT1,LIN28A,DMBT1
10_124330405_124331877|DMBT1,PCBP3,DMBT1
10_124330405_124331877|DMBT1,SRSF2,DMBT1
10_124330405_124331877|DMBT1,SRSF3,DMBT1
10_124330405_124331877|DMBT1,SRSF5,DMBT1
10_124330405_124331877|DMBT1,SRSF7,DMBT1
10_124330405_124333278|DMBT1,HNRNPA1,DMBT1
10_124330405_124333278|DMBT1,HNRNPA2B1,DMBT1
10_124330405_124333278|DMBT1,LIN28A,DMBT1
10_124330405_124333278|DMBT1,PCBP3,DMBT1
10_124330405_124333278|DMBT1,SRSF2,DMBT1
10_124330405_124333278|DMBT1,SRSF3,DMBT1
10_124330405_124333278|DMBT1,SRSF5,DMBT1
10_124330405_124333278|DMBT1,SRSF7,DMBT1
10_124330405_124333278|DMBT1,TRA2B,DMBT1
10_124331829_124333278|DMBT1,HNRNPA1,DMBT1
10_124331829_124333278|DMBT1,LIN28A,DMBT1
10_124331829_124333278|DMBT1,MBNL1,DMBT1
10_124331829_124333278|DMBT1,SRSF2,DMBT1
10_124331829_124333278|DMBT1,SRSF3,DMBT1
10_124331829_124333278|DMBT1,TRA2B,DMBT1
